n,Serie_Armonica,Serie_Inversos_Cuadrados
1,1.0000000000,1.0000000000
2,1.5000000000,1.2500000000
3,1.8333333333,1.3611111111
4,2.0833333333,1.4236111111
5,2.2833333333,1.4636111111
6,2.4500000000,1.4913888889
7,2.5928571429,1.5117970522
8,2.7178571429,1.5274220522
9,2.8289682540,1.5397677312
10,2.9289682540,1.5497677312
11,3.0198773449,1.5580321940
12,3.1032106782,1.5649766384
13,3.1801337551,1.5708937982
14,3.2515623266,1.5759958390
15,3.3182289932,1.5804402834
16,3.3807289932,1.5843465334
17,3.4395525226,1.5878067411
18,3.4951080782,1.5908931608
19,3.5477396571,1.5936632439
20,3.5977396571,1.5961632439
21,3.6453587048,1.5984308176
22,3.6908132502,1.6004969333
23,3.7342915111,1.6023872925
24,3.7759581778,1.6041234036
25,3.8159581778,1.6057234036
26,3.8544197162,1.6072026935
27,3.8914567533,1.6085744356
28,3.9271710390,1.6098499458
29,3.9616537976,1.6110390065
30,3.9949871309,1.6121501176
31,4.0272451954,1.6131907003
32,4.0584951954,1.6141672628
33,4.0887982257,1.6150855365
34,4.1182099904,1.6159505884
35,4.1467814190,1.6167669149
36,4.1745591968,1.6175385198
37,4.2015862238,1.6182689800
38,4.2279020133,1.6189615008
39,4.2535430389,1.6196189630
40,4.2785430389,1.6202439630
41,4.3029332828,1.6208388470
42,4.3267428066,1.6214057404
43,4.3499986206,1.6219465733
44,4.3727258933,1.6224631022
45,4.3949481156,1.6229569294
46,4.4166872460,1.6234295192
47,4.4379638417,1.6238822127
48,4.4587971751,1.6243162405
49,4.4792053383,1.6247327336
50,4.4992053383,1.6251327336
51,4.5188131815,1.6255172011
52,4.5380439507,1.6258870236
53,4.5569118752,1.6262430222
54,4.5754303937,1.6265859577
55,4.5936122119,1.6269165362
56,4.6114693548,1.6272354138
57,4.6290132144,1.6275432008
58,4.6462545937,1.6278404660
59,4.6632037463,1.6281277397
60,4.6798704130,1.6284055175
61,4.6962638556,1.6286742625
62,4.7123928878,1.6289344082
63,4.7282659037,1.6291863608
64,4.7438909037,1.6294305014
65,4.7592755191,1.6296671878
66,4.7744270342,1.6298967562
67,4.7893524074,1.6301195230
68,4.8040582897,1.6303357859
69,4.8185510434,1.6305458259
70,4.8328367576,1.6307499075
71,4.8469212647,1.6309482808
72,4.8608101536,1.6311411821
73,4.8745087837,1.6313288345
74,4.8880222972,1.6315114496
75,4.9013556306,1.6316892274
76,4.9145135253,1.6318623576
77,4.9275005383,1.6320310201
78,4.9403210511,1.6321953856
79,4.9529792789,1.6323556163
80,4.9654792789,1.6325118663
81,4.9778249580,1.6326642821
82,4.9900200799,1.6328130031
83,5.0020682727,1.6329581621
84,5.0139730346,1.6330998854
85,5.0257377405,1.6332382937
86,5.0373656474,1.6333735020
87,5.0488599003,1.6335056198
